Elevation,Slope,Rainfall,Ave_temps,Soil_fertility,Soil_type,pH,Pollution_level,Standard_yield
786.0558,14.795113,1125.2,15,0.62,Sandy,6.169393038,0.085266843,0.577964364
674.3341,11.374611,1450.7,13.35,0.64,Volcanic,5.676647602,0.399683762,0.486302187
826.5339,11.339692,2208.9,13.3,0.69,Volcanic,5.331992991,0.358028553,0.649647376
574.94617,7.109855,328.8,13.2,0.54,Loamy,5.328149653,0.286687129,0.532347973
886.353,55.007656,785.2,14.25,0.72,Sandy,5.721233806,0.043190275,0.555075981
850.56647,50.45125,649.4,13.25,0.7,Sandy,5.484350234,0.127528026,0.654477026
331.35538,5.907423,1586,12.5,0.63,Silt,7.061316547,4.32E-07,0.342870731
790.73846,15.380596,1188.3,14,0.63,Sandy,4.57704271,0.613107382,0.399213691
742.7218,3.4318435,2143.3,12.8,0.66,Volcanic,5.447320502,0.278479232,0.613860762
747.3803,8.239554,796.6,14.45,0.58,Sandy,4.897414402,0.310386235,0.481451985
756.9202,9.371509,1544.7,13.7,0.64,Volcanic,5.831128627,0.445128663,0.473837914
393.8345,36.34067,1753.3,12.75,0.74,Silt,6.254509163,0.00399182,0.493055394
660.6827,8.705346,612.7,12.55,0.57,Sandy,5.491848254,0.189015742,0.620623592
790.90894,17.159893,1575,14.4,0.66,Volcanic,5.555430182,0.051625116,0.721084889
618.16815,23.239878,1673.9,13.35,0.69,Silt,5.580685569,0.091164909,0.447892556
639.52563,0.8549503,913,13.85,0.56,Sandy,5.688561121,0.703884192,0.339829607
808.43085,16.707561,1693.4,13.8,0.67,Volcanic,3.768237808,0.100855338,0.63992216
454.19534,9.985941,1700.5,12.85,0.65,Silt,7.196078808,0.030382035,0.384128607
768.06274,10.411442,1756.8,14.85,0.66,Volcanic,4.434904885,0.170966648,0.780996948
610.994,16.369598,902.8,11.75,0.61,Loamy,4.698948976,0.303486654,0.527409497
195.87325,10.056667,1575,12.9,0.64,Silt,6.927999151,1.02E-05,0.4802121
654.80963,13.94029,1000.2,14.6,0.61,Sandy,6.022460297,0.580712462,0.53257549
504.42505,3.906222,335.3,13.1,0.53,Loamy,5.429211595,0.057291111,0.599486485
775.58325,21.290752,532,12.05,0.6,Sandy,5.570517207,0.298880309,0.613091072
843.27203,11.813544,1151.4,14.2,0.62,Sandy,5.478450993,0.106180852,0.595282178
690.64,4.2353106,1276,12.7,0.6,Volcanic,4.615958553,0.028894932,0.725799123
525.38104,6.8092437,298.6,13.75,0.54,Loamy,6.453104704,0.192562524,0.54232144
792.5747,27.644611,613.9,14.35,0.62,Sandy,5.842696857,0.105324641,0.636382154
751.3648,3.2867026,1298.6,13.25,0.6,Volcanic,4.048841634,0.312783133,0.5809066
445.4456,5.848148,1350.4,13.7,0.61,Peaty,4.70362873,0.03815567,0.408486294
741.3757,7.026868,484.6,12.4,0.55,Sandy,6.082514707,0.292353683,0.546241633
521.39185,5.194681,1367.4,13.3,0.61,Peaty,5.472009097,0.048746442,0.503473346
680.9076,8.412227,706.5,13.25,0.57,Sandy,6.134941846,0.468993422,0.495258478
717.9738,4.5158725,909.5,13,0.57,Sandy,5.959237557,0.449109434,0.459630473
713.8158,17.381775,534.8,13.1,0.59,Sandy,5.282325165,0.082131725,0.628570837
891.7427,4.546448,1414.4,13.55,0.61,Volcanic,4.186967881,0.050933146,0.594795543
700.91864,11.447326,511.2,11.45,0.57,Sandy,5.201757788,0.167623887,0.467241139
572.3282,4.282469,1632.1,14.6,0.63,Silt,6.767187005,0.040466313,0.444291794
550.40393,21.226728,1144.1,12.8,0.64,Loamy,4.680589623,0.712758913,0.375810644
659.6165,0.80738175,1237.5,13.8,0.59,Volcanic,5.992704327,0.114097249,0.546286136
386.93896,4.1579146,1885.8,13.7,0.65,Silt,7.028415323,0.041558341,0.441432957
751.4212,8.986146,1183.5,13.7,0.61,Sandy,6.134573075,0.059174328,0.570346757
638.4356,2.4603343,1093.8,12.65,0.58,Sandy,4.911920668,0.306816464,0.360602425
255.68433,22.052572,1667.3,12.8,0.69,Silt,6.471624731,0.006974606,0.559082548
562.1472,24.619905,1200.3,13.25,0.66,Loamy,4.649273585,0.262476573,0.67743341
779.9252,3.3992305,2219.5,14.2,0.67,Volcanic,4.416862392,0.335383599,0.65548438
805.97516,4.799029,1284.1,13.2,0.6,Volcanic,5.82974689,0.800534509,0.322042458
673.3514,8.904864,1927.1,13.45,0.67,Volcanic,4.857110977,0.141804976,0.861802093
493.53882,8.672898,690.4,13.95,0.57,Loamy,6.766205918,0.004871614,0.721475332
538.19745,12.456426,1187.9,13.35,0.62,Loamy,6.045768938,0.606608627,0.515763524
544.6548,9.845885,532.3,13.75,0.56,Loamy,4.99822875,0.026570875,0.545836934
965.42365,7.6869597,903.7,12.7,0.58,Rocky,6.116802548,0.208576448,0.616783004
809.51984,14.039279,1275.4,14.1,0.63,Volcanic,4.096503704,0.740390219,0.392331214
379.92014,5.2726903,1492.5,13.25,0.62,Silt,5.915457225,0.065065205,0.494419523
603.43915,45.649673,1021.6,14.5,0.71,Loamy,4.577532667,0.902202141,0.434248289
813.8458,29.738115,562.4,13.45,0.63,Sandy,6.06054402,0.304448047,0.535901863
723.12756,4.783915,2010.9,13.8,0.66,Volcanic,5.792302605,0.241343141,0.669975667
410.50626,4.675606,1846.7,12.15,0.65,Silt,5.926181828,0.076413819,0.529590817
792.6537,28.081358,928.5,13.95,0.65,Sandy,5.102047963,0.387349694,0.543234027
396.00775,6.379792,279,12.45,0.53,Loamy,5.319849779,0.004182257,0.568964243
909.26044,9.121588,1405.4,14.6,0.63,Volcanic,5.366401241,0.063128676,0.447648232
383.46628,6.539067,1822.5,12.45,0.65,Silt,6.569699633,0.164940496,0.499821355
717.6414,10.938603,799.1,14.65,0.59,Sandy,5.499808144,0.300350271,0.456019814
709.2452,1.2624784,2156.5,14,0.66,Volcanic,5.578641561,0.339897297,0.632110384
603.7494,4.3008165,1419.2,12.05,0.61,Peaty,4.411738199,0.011801052,0.356438972
459.53207,2.867474,1277.1,13.6,0.6,Peaty,4.040777401,3.32E-10,0.358668613
834.7159,18.581152,785,13.1,0.61,Sandy,6.156581999,0.196530818,0.559224811
674.2084,11.709434,1105.9,12.2,0.61,Sandy,5.218901008,0.089423674,0.421291536
747.4178,1.3789419,1724.8,13,0.63,Volcanic,5.850088552,0.115491131,0.58422108
344.45914,21.846682,1731.1,12.7,0.69,Silt,5.266289934,0.02786805,0.418664632
545.2032,10.295476,772.7,11.75,0.58,Loamy,6.724823437,0.006578449,0.66391863
585.1891,21.96423,1209,14.35,0.65,Silt,6.68380561,0.685779918,0.447101292
680.9612,31.381239,445.3,14.45,0.62,Sandy,4.546514889,0.20582627,0.508524724
507.23108,10.975426,1116.9,13.55,0.61,Loamy,5.534211139,0.679050621,0.383990761
568.6904,17.172949,1192,13.65,0.64,Loamy,5.42847223,0.124149155,0.61574705
376.7257,15.336854,269.2,12.45,0.56,Loamy,6.361335078,0.002626443,0.677419976
776.9175,10.646531,1879.4,13.35,0.67,Volcanic,4.168289396,0.134165112,0.765231843
610.9348,9.278497,353.7,12.65,0.55,Loamy,5.98152616,0.124812884,0.679763706
567.1401,2.6829624,1040.5,11.85,0.58,Loamy,5.068413022,0.91409467,0.369831273
744.86566,9.13863,1284.5,12.35,0.62,Volcanic,4.403427497,0.743466972,0.475489759
826.1083,5.061548,1258.6,12.15,0.6,Volcanic,4.510853471,0.331093836,0.604666423
683.9345,17.144402,1638.1,14.1,0.67,Volcanic,4.405833109,9.94E-09,0.3458447
736.43884,2.530983,1334.6,12.85,0.6,Volcanic,5.49203563,0.477128091,0.402586266
469.52298,9.228676,1297.6,12.25,0.62,Silt,7.274776212,0.055288433,0.503171152
595.3719,2.0598238,1707.8,12.85,0.63,Silt,6.142054421,0.070124453,0.478065173
737.3999,0.5008781,961.7,13.6,0.57,Sandy,5.12549672,0.343521875,0.540047607
631.03644,4.558887,1206.5,14.3,0.6,Peaty,4.283779089,0.972991682,0.278082159
497.6068,7.9985347,1564.4,13.15,0.63,Silt,6.946408342,1.97E-08,0.39210197
764.42444,16.099163,1175.5,12.8,0.63,Sandy,4.555199566,0.748494685,0.362175529
718.968,12.725033,1805.9,13.2,0.67,Volcanic,4.510769856,0.120833014,0.83861191
672.494,34.655468,819.1,12.4,0.66,Sandy,5.204323625,0.307990668,0.512488633
636.7583,5.922931,999.6,14.05,0.59,Loamy,6.688992315,0.340423741,0.65291556
680.74854,17.115238,1408.4,13.15,0.65,Volcanic,4.142578632,0.691758687,0.319477421
378.82364,13.30753,1822.6,11.6,0.67,Silt,5.617232128,0.026928287,0.596157301
686.1873,7.4993587,1781,13.3,0.65,Volcanic,4.744504821,0.050692935,0.516806148
459.43204,13.164362,1370.1,13.45,0.64,Silt,5.710719074,0.102990343,0.509698161
758.08466,31.378008,2108.5,13.3,0.75,Volcanic,4.997698253,0.16954985,0.756468583
701.20154,7.184972,1920.5,14.2,0.66,Volcanic,4.341071838,0.168004591,0.810226589
388.1572,5.3030796,1470.8,13.7,0.62,Silt,7.156023858,0.077165635,0.319954654
643.1573,22.550077,2042.5,13.05,0.72,Volcanic,4.094322103,0.165106081,0.752314193
711.88837,1.7127155,1046.3,13.75,0.58,Sandy,6.586034289,0.069158462,0.504116509
369.78412,24.896206,1849.9,12.85,0.71,Silt,5.836137796,0.166165345,0.579636345
585.7511,4.52347,1085.7,13.95,0.59,Loamy,6.367139338,0.577410714,0.56900174
463.17465,1.3305372,1903.4,12.85,0.64,Silt,6.82844845,0.006509506,0.511397556
798.289,3.3962333,1351.4,13.55,0.6,Volcanic,4.691339076,0.032355367,0.689192299
598.0178,19.143837,441.6,12.9,0.58,Loamy,5.340806298,0.082492087,0.617658046
628.43207,16.149405,1678.8,13.1,0.67,Silt,6.565928068,0.072715004,0.562764226
491.91196,19.73039,491.8,12.7,0.59,Loamy,6.406293574,0.022148019,0.661351873
769.1642,19.388521,1737.8,14.2,0.68,Volcanic,4.933294486,0.178828865,0.797563716
339.7252,21.680336,733.9,12.55,0.61,Loamy,5.920826527,0.828204029,0.474794725
796.3508,4.876115,1598.2,13.55,0.63,Volcanic,5.274719324,0.349722473,0.423603032
795.21094,10.080604,528.9,12.65,0.56,Sandy,6.141882524,0.258335102,0.575174512
597.09717,8.757406,1570.2,13.35,0.64,Silt,7.193913019,0.099835463,0.383194777
459.17047,3.5356965,1895.7,13.6,0.65,Silt,5.646501377,0.13558301,0.511414861
689.879,12.036003,1192.9,12.25,0.62,Sandy,6.181975145,0.118607892,0.519896327
680.05005,1.9294587,1998.1,14.5,0.65,Volcanic,5.391902022,0.23441667,0.810640125
770.18756,7.614794,618.7,11.4,0.56,Sandy,6.116174023,0.256561016,0.578697865
768.82184,5.0275955,1254.4,13.95,0.6,Volcanic,4.399981414,0.665733348,0.479242287
746.7498,2.553003,1309.6,14.1,0.6,Volcanic,5.565455584,0.548887275,0.549171941
530.631,15.18068,518.1,11.85,0.58,Loamy,4.950463812,0.029874322,0.59714103
904.1912,42.477123,1209.9,12.55,0.72,Volcanic,3.752137538,0.346308528,0.440058141
790.7851,33.711464,1598.5,13.5,0.72,Volcanic,4.188630971,0.42031655,0.611898617
668.8469,14.157809,863.8,12.45,0.6,Sandy,5.296059627,0.511416649,0.525571115
623.66113,4.1246443,1380.9,13.9,0.61,Peaty,4.377066253,1.01E-09,0.360323366
737.1681,18.709253,1229.4,12.55,0.64,Volcanic,4.122904573,0.083592485,0.410748407
525.3842,36.889824,582.3,12.75,0.65,Loamy,6.475410103,0.000684765,0.685974749
